Date/Time,weighted_average
 07/01  00:54:00,24.802155562284327
 07/01  00:55:00,24.815650944245935
 07/01  00:56:00,24.82860627750708
 07/01  00:57:00,24.841053747783114
 07/01  00:58:00,24.853018012916145
 07/01  00:59:00,24.86452435940012
 07/01  01:00:00,24.875599191122166
 07/01  01:01:00,24.886227547481884
 07/01  01:02:00,24.896405656228378
 07/01  01:03:00,24.906151021386975
 07/01  01:04:00,24.915488629712424
 07/01  01:05:00,24.924435189056094
 07/01  01:06:00,24.933008921116176
 07/01  01:07:00,24.94123009460903
 07/01  01:08:00,24.94911456358212
 07/01  01:09:00,24.956678022724965
 07/01  01:10:00,24.963930907205203
 07/01  01:11:00,24.97089969397946
 07/01  01:12:00,24.977599656590346
 07/01  01:13:00,24.984053754645785
 07/01  01:14:00,24.99026875328694
 07/01  01:15:00,24.996252478577844
 07/01  01:16:00,25.002019084985093
 07/01  01:17:00,25.007583814702222
 07/01  01:18:00,25.01296073667993
 07/01  01:19:00,25.018162466335173
 07/01  01:20:00,25.023196186181444
 07/01  01:21:00,25.028068143446173
 07/01  01:22:00,25.032786350326294
 07/01  01:23:00,25.0373599141886
 07/01  01:24:00,25.041797982640315
 07/01  01:25:00,25.04610920302938
 07/01  01:26:00,25.05029798415608
 07/01  01:27:00,25.054368102404172
 07/01  01:28:00,25.05832491419523
 07/01  01:29:00,25.062174779041015
 07/01  01:30:00,25.0659241734501
 07/01  01:31:00,25.069579235422605
 07/01  01:32:00,25.07314239676143
 07/01  01:33:00,25.07661563823712
 07/01  01:34:00,25.0800024762552
 07/01  01:35:00,25.08330742990865
 07/01  01:36:00,25.08653521390009
 07/01  01:37:00,25.08969032017298
 07/01  01:38:00,25.09277399341766
 07/01  01:39:00,25.095787146866197
 07/01  01:40:00,25.09873213809655
 07/01  01:41:00,25.101612284426754
 07/01  01:42:00,25.104431134828175
 07/01  01:43:00,25.107192089938053
 07/01  01:44:00,25.10989569175948
 07/01  01:45:00,25.11254223090806
 07/01  01:46:00,25.115133332854914
 07/01  01:47:00,25.11767151995183
 07/01  01:48:00,25.120159556794697
 07/01  01:49:00,25.122600106889944
 07/01  01:50:00,25.124993303900176
 07/01  01:51:00,25.127339084157168
 07/01  01:52:00,25.12963860522054
 07/01  01:53:00,25.131893851183342
 07/01  01:54:00,25.1341070445642
 07/01  01:55:00,25.1362803367949
 07/01  01:56:00,25.138413629346616
 07/01  01:57:00,25.140506663539604
 07/01  01:58:00,25.142560291464648
 07/01  01:59:00,25.144576120505587
 07/01  02:00:00,25.146555984495258
 07/01  02:01:00,25.14850466590716
 07/01  02:02:00,25.150423765542627
 07/01  02:03:00,25.15231312066677
 07/01  02:04:00,25.15417292459041
 07/01  02:05:00,25.156004026627276
 07/01  02:06:00,25.157807602652344
 07/01  02:07:00,25.159584884513222
 07/01  02:08:00,25.1613353814225
 07/01  02:09:00,25.163058516583273
 07/01  02:10:00,25.16475462484167
 07/01  02:11:00,25.166424665788927
 07/01  02:12:00,25.1680698026717
 07/01  02:13:00,25.169691179864127
 07/01  02:14:00,25.171288359199536
 07/01  02:15:00,25.17286081857702
 07/01  02:16:00,25.17440885951836
 07/01  02:17:00,25.175933349188632
 07/01  02:18:00,25.17743533937344
 07/01  02:19:00,25.178915864943658
 07/01  02:20:00,25.18037453215704
 07/01  02:21:00,25.1818108710834
 07/01  02:22:00,25.183225154987763
 07/01  02:23:00,25.184618167716287
 07/01  02:24:00,25.18599085962677
 07/01  02:25:00,25.187344165719324
 07/01  02:26:00,25.18867772915851
 07/01  02:27:00,25.189991123982175
 07/01  02:28:00,25.191284596119555
 07/01  02:29:00,25.192558853246386
 07/01  02:30:00,25.19381475345408
 07/01  02:31:00,25.195053140838848
 07/01  02:32:00,25.196273689216596
 07/01  02:33:00,25.197476009595825
 07/01  02:34:00,25.198660321584047
 07/01  02:35:00,25.19982726331937
 07/01  02:36:00,25.200977609296228
 07/01  02:37:00,25.202112121523886
 07/01  02:38:00,25.20323050016692
 07/01  02:39:00,25.20433238846031
 07/01  02:40:00,25.205417982074284
 07/01  02:41:00,25.206487856868684
 07/01  02:42:00,25.207542712620196
 07/01  02:43:00,25.20858323803027
 07/01  02:44:00,25.209609156589448
 07/01  02:45:00,25.210620140147665
 07/01  02:46:00,25.211616362962832
 07/01  02:47:00,25.21259834532609
