,events.out.tfevents.1680471776.a53ed19ff0d2.11281.0
200,-240.05221557617188
201,-190.5121612548828
202,-258.1584167480469
203,-250.3021697998047
204,-210.34376525878906
205,-159.82261657714844
206,-178.92100524902344
207,-265.46356201171875
208,-207.51608276367188
209,-205.64492797851562
210,-155.51724243164062
211,-214.145751953125
212,-280.46209716796875
213,-187.13832092285156
214,-278.5606994628906
215,-208.3522186279297
216,-189.7857666015625
217,-229.37693786621094
218,-266.79168701171875
219,-107.96858215332031
220,-217.14767456054688
221,-139.21585083007812
222,-184.49838256835938
223,-135.5480194091797
224,-131.913330078125
225,-136.317138671875
226,-106.36747741699219
227,-208.94729614257812
228,-130.16067504882812
229,-100.23522186279297
230,-147.9945526123047
231,-116.32945251464844
232,-156.5364532470703
233,-190.6704864501953
234,-183.09034729003906
235,-83.82394409179688
236,-130.31939697265625
237,-161.0912322998047
238,-117.38077545166016
239,-116.92576599121094
240,-96.88777923583984
241,-91.3313980102539
242,-120.34959411621094
243,-126.07848358154297
244,-93.54574584960938
245,-103.07841491699219
246,-68.61709594726562
247,-82.38174438476562
248,-94.49536895751953
249,-73.8666763305664
250,-66.05852508544922
251,-94.29938507080078
252,-83.4244384765625
253,-96.02995300292969
254,-75.5217514038086
255,-89.2236099243164
256,-63.7144660949707
257,-71.46012878417969
258,-77.02102661132812
259,-71.5682144165039
260,-62.60143280029297
261,-59.450660705566406
262,-80.92494201660156
263,-75.4024429321289
264,-62.661094665527344
265,-80.48527526855469
266,-78.29054260253906
267,-81.64350128173828
268,-63.93396759033203
269,-69.36371612548828
270,-93.1162338256836
271,-109.54390716552734
272,-71.88048553466797
273,-69.0743408203125
274,-112.53055572509766
275,-91.35893249511719
276,-67.37107849121094
277,-77.4689712524414
278,-62.17443084716797
279,-101.17166900634766
280,-82.21566009521484
281,-70.24826049804688
282,-68.4568862915039
283,-77.86943817138672
284,-80.27900695800781
285,-73.14508056640625
286,-74.39563751220703
287,-79.71147155761719
288,-86.6065673828125
289,-112.18701171875
290,-77.75630187988281
291,-73.9520263671875
292,-73.74063110351562
293,-70.11183166503906
294,-89.83264923095703
295,-81.6415023803711
296,-62.5234489440918
297,-76.39089965820312
298,-63.261226654052734
299,-68.242431640625
300,-82.43934631347656
301,-83.8304214477539
302,-70.4254379272461
303,-95.0323257446289
304,-92.85787200927734
305,-95.40548706054688
306,-80.98362731933594
307,-87.35372161865234
308,-71.4448471069336
309,-84.1634750366211
310,-102.753662109375
311,-67.24079895019531
312,-66.85558319091797
313,-82.22915649414062
314,-91.78498077392578
315,-99.07487487792969
316,-98.0888900756836
317,-85.17176055908203
318,-73.56641387939453
319,-89.28006744384766
320,-72.21833038330078
321,-75.77958679199219
322,-74.60652160644531
323,-71.99480438232422
324,-90.39048767089844
325,-70.73490142822266
326,-66.39862060546875
327,-61.18227767944336
328,-54.873111724853516
329,-74.3051528930664
330,-57.79413986206055
331,-62.118324279785156
332,-84.29878997802734
333,-107.14005279541016
334,-92.37963104248047
335,-88.82352447509766
336,-75.35906219482422
337,-59.196510314941406
338,-71.32880401611328
339,-86.30671691894531
340,-74.9852066040039
341,-78.51969146728516
342,-64.05098724365234
343,-66.04617309570312
344,-62.487159729003906
345,-69.65670776367188
346,-70.31976318359375
347,-102.55525970458984
348,-94.86207580566406
349,-72.11741638183594
350,-57.97563171386719
351,-63.91162872314453
352,-67.271728515625
353,-110.13455200195312
354,-72.37394714355469
355,-72.16366577148438
356,-74.47792053222656
357,-89.32298278808594
358,-71.22737884521484
359,-73.8617935180664
360,-57.995113372802734
361,-80.73053741455078
362,-77.17720794677734
363,-112.62217712402344
364,-79.28132629394531
365,-61.47341537475586
366,-64.64158630371094
367,-110.9178237915039
368,-131.41636657714844
369,-83.9224624633789
370,-106.88585662841797
371,-80.39105987548828
372,-82.46144104003906
373,-91.16455078125
374,-74.89202117919922
375,-84.01263427734375
376,-76.34986114501953
377,-65.41152954101562
378,-62.33199691772461
379,-55.47772979736328
380,-67.54380798339844
381,-76.81214141845703
382,-85.40281677246094
383,-93.47225189208984
384,-76.02225494384766
385,-110.83586883544922
386,-74.77241516113281
387,-74.86006927490234
388,-118.6703109741211
389,-88.42776489257812
390,-91.1883316040039
391,-74.66706085205078
392,-68.17589569091797
393,-79.82044219970703
394,-81.78211975097656
395,-59.55720520019531
396,-78.86066436767578
397,-59.57839584350586
398,-81.27886199951172
399,-107.00592803955078
400,-73.1165771484375
401,-75.04510498046875
402,-94.01009368896484
403,-71.80909729003906
404,-85.926025390625
405,-68.01264190673828
406,-74.95658111572266
407,-82.62069702148438
408,-69.66848754882812
409,-105.8826675415039
410,-84.61767578125
411,-79.09638214111328
412,-96.21112060546875
413,-79.14722442626953
414,-79.45817565917969
415,-70.5989761352539
416,-66.2744369506836
417,-83.81271362304688
418,-91.41602325439453
419,-68.22301483154297
420,-54.292266845703125
421,-74.77598571777344
422,-61.54474639892578
423,-100.94416046142578
424,-62.8685302734375
425,-61.411991119384766
426,-118.40008544921875
427,-74.89652252197266
428,-67.83328247070312
429,-87.56148529052734
430,-74.69501495361328
431,-92.07276153564453
432,-62.426727294921875
433,-90.57561492919922
434,-91.2618637084961
435,-74.05365753173828
436,-67.76841735839844
437,-84.96245574951172
438,-79.02259063720703
439,-67.85563659667969
440,-57.412113189697266
441,-77.2889633178711
442,-94.20106506347656
443,-75.6300048828125
444,-82.55084228515625
445,-55.319820404052734
446,-59.36792755126953
447,-83.94207763671875
448,-94.44500732421875
449,-74.0008544921875
450,-78.92023468017578
451,-64.31839752197266
452,-95.69047546386719
453,-81.7833480834961
454,-65.98489379882812
455,-65.66402435302734
456,-69.62808990478516
457,-60.70704650878906
458,-92.39818572998047
459,-82.98957824707031
460,-79.97407531738281
461,-62.37531661987305
462,-70.24179077148438
463,-92.17400360107422
464,-114.86930084228516
465,-89.82235717773438
466,-71.95024108886719
467,-66.36027526855469
468,-84.3797836303711
469,-87.42916107177734
470,-65.76420593261719
471,-99.3771743774414
472,-56.678836822509766
473,-74.57227325439453
474,-76.96324157714844
475,-74.42965698242188
476,-64.14905548095703
477,-70.0257568359375
478,-93.12950134277344
479,-67.35221099853516
480,-69.79515838623047
481,-73.3678970336914
482,-53.758663177490234
483,-84.4671859741211
484,-87.14794158935547
485,-71.6881332397461
486,-115.71766662597656
487,-65.6894760131836
488,-69.47819519042969
489,-58.984779357910156
490,-68.08953857421875
491,-56.66086196899414
492,-85.1803970336914
493,-55.43281936645508
494,-57.62400436401367
495,-82.6819076538086
496,-81.98796081542969
497,-83.53899383544922
498,-61.85919189453125
499,-123.96405029296875
