,events.out.tfevents.1680489891.d2002b779051.31779.0
219,6.25676155090332
220,6.030224800109863
221,7.697409629821777
222,10.343523025512695
223,6.407943248748779
224,13.573566436767578
225,8.958440780639648
226,5.17332649230957
227,7.808417320251465
228,4.0588836669921875
229,6.216533660888672
230,6.7098565101623535
231,6.88834285736084
232,7.347719669342041
233,5.541703701019287
234,9.222702026367188
235,4.504180908203125
236,6.911898136138916
237,12.451149940490723
238,8.435659408569336
239,5.500716209411621
240,3.042362928390503
241,4.122898101806641
242,6.921727657318115
243,4.216965675354004
244,3.304824113845825
245,3.66810941696167
246,6.695033073425293
247,9.342169761657715
248,3.881972312927246
249,6.0870537757873535
250,5.218259334564209
251,5.989406585693359
252,4.324460029602051
253,8.385080337524414
254,6.930141925811768
255,6.5280914306640625
256,5.527022361755371
257,5.071776390075684
258,5.2632856369018555
259,4.703322887420654
260,4.271806716918945
261,9.802469253540039
262,3.471635341644287
263,7.077559471130371
264,5.403843879699707
265,6.018220901489258
266,5.453150749206543
267,1.3858973979949951
268,7.579673767089844
269,5.768373489379883
270,4.709273338317871
271,6.739914894104004
272,5.782567977905273
273,2.822920560836792
274,5.11932373046875
275,9.189741134643555
276,7.617760181427002
277,3.4186177253723145
278,6.761670112609863
279,4.485790252685547
280,4.95958948135376
281,4.004944801330566
282,5.124612808227539
283,3.3395228385925293
284,2.722567319869995
285,4.455358505249023
286,4.035349369049072
287,5.197009086608887
288,3.305126667022705
289,2.8387765884399414
290,1.4111777544021606
291,10.095831871032715
292,7.7456955909729
293,7.995307922363281
294,5.747092247009277
295,4.7934889793396
296,1.9542865753173828
297,3.454481601715088
298,4.80165433883667
299,6.127392768859863
300,0.9733724594116211
301,6.336565971374512
302,6.756087779998779
303,3.0240492820739746
304,3.7664637565612793
305,6.574233055114746
306,4.448698997497559
307,2.7350282669067383
308,4.929452896118164
309,4.968716144561768
310,2.6613361835479736
311,9.269575119018555
312,5.561124801635742
313,5.653862953186035
314,5.698366165161133
315,0.8952433466911316
316,2.354700803756714
317,6.7971625328063965
318,4.272998332977295
319,6.847080707550049
320,4.083611965179443
321,3.5430867671966553
322,1.2328121662139893
323,9.897687911987305
324,7.464719772338867
325,1.9801735877990723
326,2.699984550476074
327,4.150779724121094
328,3.3318898677825928
329,4.453738212585449
330,3.4208362102508545
331,4.908156394958496
332,3.7570621967315674
333,6.4610772132873535
334,3.4671671390533447
335,1.374334692955017
336,3.0739283561706543
337,5.303642749786377
338,1.8686273097991943
339,1.71625816822052
340,1.101804256439209
341,11.775032997131348
342,3.941579818725586
343,5.002495765686035
344,1.8673183917999268
345,2.8903162479400635
346,5.508247375488281
347,4.128668785095215
348,3.31172513961792
349,1.9451916217803955
350,1.2011679410934448
351,3.4815666675567627
352,1.3748869895935059
353,4.092006206512451
354,3.9645416736602783
355,2.2382256984710693
356,8.926971435546875
357,1.3366985321044922
358,2.3542940616607666
359,2.3177781105041504
360,5.013721466064453
361,0.975127100944519
362,1.393254041671753
363,3.8162803649902344
364,4.1172637939453125
365,5.242887020111084
366,2.485616683959961
367,4.236999034881592
368,2.0911993980407715
369,1.0681458711624146
370,4.176430702209473
371,4.171303749084473
372,5.929059982299805
373,2.2006797790527344
374,6.165515422821045
375,2.5872254371643066
376,3.0640807151794434
377,2.2760488986968994
378,1.8209999799728394
379,2.531430244445801
380,2.42193865776062
381,1.4692600965499878
382,6.915935039520264
383,3.504322052001953
384,5.289466857910156
385,3.592836380004883
386,5.515692710876465
387,3.2255172729492188
388,1.3202441930770874
389,4.0894036293029785
390,1.293053150177002
391,0.9359370470046997
392,2.043595552444458
393,2.4378557205200195
394,2.3198161125183105
395,3.6630449295043945
396,2.439983606338501
397,0.9971179962158203
398,1.1799466609954834
399,5.068475246429443
400,1.2375198602676392
401,2.740063190460205
402,3.747464895248413
403,3.650911569595337
404,2.335336208343506
405,3.467136859893799
406,2.3917036056518555
407,2.537113666534424
408,1.1151995658874512
409,2.4832096099853516
410,2.742164373397827
411,4.46412992477417
412,3.5203847885131836
413,3.6775052547454834
414,2.365670680999756
415,1.104973554611206
416,2.403104305267334
417,4.478226184844971
418,3.5056402683258057
419,7.423518657684326
420,2.306088924407959
421,3.773120403289795
422,3.6217241287231445
423,1.1312028169631958
424,2.942983627319336
425,3.103775978088379
426,1.1279449462890625
427,2.208383560180664
428,3.5521535873413086
429,2.3905162811279297
430,0.9070783257484436
431,1.0029268264770508
432,5.788421630859375
433,3.2081856727600098
434,4.545989513397217
435,2.6802029609680176
436,4.791949272155762
437,2.0790867805480957
438,2.050978660583496
439,2.100355625152588
440,4.567253112792969
441,0.8839249610900879
442,1.1183149814605713
443,3.60361385345459
444,1.9830708503723145
445,3.648083209991455
446,4.739467620849609
447,3.20176362991333
448,2.656651496887207
449,2.6111631393432617
450,3.598541259765625
451,3.4775335788726807
452,2.6175081729888916
453,4.825218677520752
454,2.2095584869384766
455,3.9427242279052734
456,4.082720756530762
457,3.370380401611328
458,5.242550849914551
459,3.744905948638916
460,1.2614119052886963
461,2.0713765621185303
462,1.2592240571975708
463,1.3345398902893066
464,4.849496841430664
465,1.4637477397918701
466,3.588331699371338
467,2.4544665813446045
468,0.9906015992164612
469,3.4462783336639404
470,3.3068559169769287
471,1.2211155891418457
472,3.4114041328430176
473,3.519148349761963
474,4.512923717498779
475,2.2168712615966797
476,2.561927080154419
477,1.1216647624969482
478,5.49298095703125
