,events.out.tfevents.1680489891.d2002b779051.31779.0
132,-339.2966613769531
133,-420.8540344238281
134,-462.9865417480469
135,-416.5909423828125
136,-547.7211303710938
137,-433.175048828125
138,-429.6083068847656
139,-392.5279846191406
140,-393.6156311035156
141,-423.86663818359375
142,-505.11749267578125
143,-307.12469482421875
144,-430.620361328125
145,-333.76092529296875
146,-412.7005615234375
147,-379.9052429199219
148,-450.9374084472656
149,-433.1640930175781
150,-223.8214874267578
151,-397.93682861328125
152,-375.9322814941406
153,-309.4653625488281
154,-296.693603515625
155,-366.6563720703125
156,-369.5443420410156
157,-312.1772155761719
158,-363.96337890625
159,-281.7138977050781
160,-317.7620544433594
161,-365.4820861816406
162,-328.8278503417969
163,-275.0336608886719
164,-327.6103820800781
165,-286.313720703125
166,-331.0372619628906
167,-429.08441162109375
168,-254.4508056640625
169,-378.64599609375
170,-355.9894714355469
171,-346.9104309082031
172,-417.88470458984375
173,-370.61859130859375
174,-182.46408081054688
175,-373.0281066894531
176,-197.7853240966797
177,-318.8960266113281
178,-265.2055969238281
179,-421.6430358886719
180,-293.6229553222656
181,-343.4364318847656
182,-244.75106811523438
183,-218.65524291992188
184,-336.84100341796875
185,-344.27490234375
186,-186.86720275878906
187,-294.7638854980469
188,-329.93927001953125
189,-315.75555419921875
190,-301.2588806152344
191,-250.7991485595703
192,-236.4611053466797
193,-247.33126831054688
194,-308.3266906738281
195,-270.0680847167969
196,-283.862548828125
197,-191.03497314453125
198,-234.53656005859375
199,-287.2059326171875
200,-157.71934509277344
201,-130.43775939941406
202,-234.4696044921875
203,-196.76947021484375
204,-194.45094299316406
205,-220.5818328857422
206,-293.9044189453125
207,-184.06344604492188
208,-133.4973907470703
209,-268.1124267578125
210,-164.62451171875
211,-245.77407836914062
212,-141.3125457763672
213,-303.9322509765625
214,-237.4307403564453
215,-242.31979370117188
216,-239.43643188476562
217,-149.12985229492188
218,-204.1923828125
219,-131.23240661621094
220,-135.26437377929688
221,-166.5516357421875
222,-191.61456298828125
223,-157.2342529296875
224,-180.16256713867188
225,-145.32904052734375
226,-147.28994750976562
227,-200.51840209960938
228,-133.45289611816406
229,-128.53907775878906
230,-153.5950164794922
231,-198.21530151367188
232,-165.328369140625
233,-120.08970642089844
234,-149.5094451904297
235,-187.78599548339844
236,-144.481201171875
237,-105.82952880859375
238,-103.90752410888672
239,-107.20640563964844
240,-117.05813598632812
241,-154.87611389160156
242,-106.939208984375
243,-99.10415649414062
244,-98.51915740966797
245,-84.56771087646484
246,-89.87057495117188
247,-129.24575805664062
248,-90.44271087646484
249,-112.77600860595703
250,-72.05416870117188
251,-90.41044616699219
252,-94.25164031982422
253,-79.79817199707031
254,-63.276512145996094
255,-102.00720977783203
256,-69.58370971679688
257,-102.1287612915039
258,-116.14412689208984
259,-93.3824234008789
260,-67.52850341796875
261,-76.60186004638672
262,-91.62449645996094
263,-86.72772216796875
264,-96.30705261230469
265,-85.7733154296875
266,-62.73139572143555
267,-89.49868774414062
268,-88.03297424316406
269,-75.56535339355469
270,-91.44335174560547
271,-84.70887756347656
272,-72.93513488769531
273,-83.88288879394531
274,-85.63318634033203
275,-82.38318634033203
276,-82.42194366455078
277,-125.08161926269531
278,-82.21529388427734
279,-69.12872314453125
280,-76.57662963867188
281,-91.87987518310547
282,-73.6747817993164
283,-70.32848358154297
284,-77.40595245361328
285,-63.98163604736328
286,-69.54825592041016
287,-70.21178436279297
288,-73.7931137084961
289,-76.72125244140625
290,-70.69708251953125
291,-95.81999206542969
292,-82.7853012084961
293,-81.7110595703125
294,-108.39131927490234
295,-102.67816162109375
296,-96.56607055664062
297,-86.82179260253906
298,-77.19359588623047
299,-67.15423583984375
300,-69.34864807128906
301,-116.2463150024414
302,-107.03021240234375
303,-67.43839263916016
304,-109.50109100341797
305,-99.68570709228516
306,-66.36222076416016
307,-83.25221252441406
308,-74.68864440917969
309,-87.03233337402344
310,-127.71837615966797
311,-72.28251647949219
