Date/Time,qint_lump
 07/01  02:44:00,426.3001425594457
 07/01  02:45:00,426.2727671931913
 07/01  02:46:00,426.2456016344916
 07/01  02:47:00,426.21864076361084
 07/01  02:48:00,426.1918782357019
 07/01  02:49:00,426.1653076439774
 07/01  02:50:00,426.1389296171385
 07/01  02:51:00,426.1127459083052
 07/01  02:52:00,426.0867546404
 07/01  02:53:00,426.0609510326743
 07/01  02:54:00,426.03532920917456
 07/01  02:55:00,426.0098832691326
 07/01  02:56:00,425.98461374464455
 07/01  02:57:00,425.9595222392817
 07/01  02:58:00,425.93460701127555
 07/01  02:59:00,425.9098636365514
 07/01  03:00:00,425.8841496757637
 07/01  03:01:00,425.8335582210398
 07/01  03:02:00,425.7833879945647
 07/01  03:03:00,425.73332993284356
 07/01  03:04:00,425.68324027243415
 07/01  03:05:00,425.6330934861868
 07/01  03:06:00,425.5829058647779
 07/01  03:07:00,425.5327067481235
 07/01  03:08:00,425.4825141965023
 07/01  03:09:00,425.4323339241601
 07/01  03:10:00,425.3821675183383
 07/01  03:11:00,425.3320165704082
 07/01  03:12:00,425.28188346628764
 07/01  03:13:00,425.2317709641102
 07/01  03:14:00,425.18168448862224
 07/01  03:15:00,425.13162978736045
 07/01  03:16:00,425.0816108993604
 07/01  03:17:00,425.0316302366682
 07/01  03:18:00,424.981689292674
 07/01  03:19:00,424.9317891114697
 07/01  03:20:00,424.8819330100619
 07/01  03:21:00,424.83212469323246
 07/01  03:22:00,424.7823664212654
 07/01  03:23:00,424.7326590643876
 07/01  03:24:00,424.6830027677303
 07/01  03:25:00,424.6333973644904
 07/01  03:26:00,424.58384488532477
 07/01  03:27:00,424.5343477811092
 07/01  03:28:00,424.48490724282726
 07/01  03:29:00,424.43552324868773
 07/01  03:30:00,424.38619515257665
 07/01  03:31:00,424.3369220674675
 07/01  03:32:00,424.2877052493421
 07/01  03:33:00,424.2385464631466
 07/01  03:34:00,424.18944627731184
 07/01  03:35:00,424.14040404363203
 07/01  03:36:00,424.0914185321221
 07/01  03:37:00,424.04248812296464
 07/01  03:38:00,423.9936131580463
 07/01  03:39:00,423.9447945184332
 07/01  03:40:00,423.8960321556098
 07/01  03:41:00,423.84732508200176
 07/01  03:42:00,423.7986718532312
 07/01  03:43:00,423.7500708761177
 07/01  03:44:00,423.7015224628418
 07/01  03:45:00,423.6530273784871
 07/01  03:46:00,423.6045854556454
 07/01  03:47:00,423.5561956162704
 07/01  03:48:00,423.5078563796699
 07/01  03:49:00,423.4595661620891
 07/01  03:50:00,423.41132510045867
 07/01  03:51:00,423.36313379707724
 07/01  03:52:00,423.3149919796997
 07/01  03:53:00,423.2668985759097
 07/01  03:54:00,423.21885209268993
 07/01  03:55:00,423.1708509773827
 07/01  03:56:00,423.1228952942209
 07/01  03:57:00,423.0749855270259
 07/01  03:58:00,423.0271213358493
 07/01  03:59:00,422.9793016656742
 07/01  04:00:00,422.9315250946652
 07/01  04:01:00,422.4125851726885
 07/01  04:02:00,421.89475310114943
 07/01  04:03:00,421.37813017224994
 07/01  04:04:00,420.86268412758557
 07/01  04:05:00,420.34834990202864
 07/01  04:06:00,419.8350683052829
 07/01  04:07:00,419.3227918410031
 07/01  04:08:00,418.8114822701862
 07/01  04:09:00,418.3011059182416
 07/01  04:10:00,417.791630890186
 07/01  04:11:00,417.2830265598981
 07/01  04:12:00,416.7752638149889
 07/01  04:13:00,416.26831527170054
 07/01  04:14:00,415.76215754552106
 07/01  04:15:00,415.2567695303466
 07/01  04:16:00,414.7521306017345
 07/01  04:17:00,414.2482205206313
 07/01  04:18:00,413.7450198572163
 07/01  04:19:00,413.242510282925
 07/01  04:20:00,412.74067731316757
 07/01  04:21:00,412.2395083016687
 07/01  04:22:00,411.738990357308
 07/01  04:23:00,411.23911028467455
 07/01  04:24:00,410.7398551402648
