Date/Time,out_temp,qint_lump,qhvac_lump,qwin_lump,qradin_lump
 07/02  16:28:00,30.86666666666667,0.5955447305089536,-3.400803989743249,1.5175117899251638,1.0113043446111276
 07/02  16:29:00,30.85833333333333,0.5953646035520551,-6.182951128924568,1.5172477465463594,1.0117996972930134
 07/02  16:30:00,30.85,0.5953674236666856,-3.4894605512038197,1.516959158125013,1.012277148666864
 07/02  16:31:00,30.84166666666667,0.5964239538933723,-3.1120822298562842,1.5151536375754473,1.011880391164554
 07/02  16:32:00,30.833333333333336,0.5965236208434008,-6.961294797151191,1.51331773695399,1.0114621764377432
 07/02  16:33:00,30.825000000000006,0.5961114694461581,-3.892582630027864,1.5114516918218246,1.0110226773155608
 07/02  16:34:00,30.81666666666667,0.5971524191483327,-3.786026229084369,1.5095557355665177,1.0105620638354234
 07/02  16:35:00,30.80833333333333,0.5964089007257835,-4.187509619637311,1.507630099306718,1.0100805036572915
 07/02  16:36:00,30.8,0.5959379853480771,-5.626346898074322,1.5056750118007967,1.009578163170723
 07/02  16:37:00,30.79166666666667,0.5960953998195827,-3.7601469601498776,1.5036906993593842,1.0090552043746397
 07/02  16:38:00,30.78333333333333,0.5964732681138594,-3.096318160077755,1.5016773857617864,1.008511788696033
 07/02  16:39:00,30.775,0.5966109957056939,-7.113538279364456,1.4996352921762426,1.0079480721770755
 07/02  16:40:00,30.76666666666667,0.595772778010723,-3.4434728647587765,1.4975646370839841,1.007364211731215
 07/02  16:41:00,30.75833333333333,0.5982538950986982,-4.562987110417021,1.4954656362070669,1.0067603569587635
 07/02  16:42:00,30.75,0.5982364141585316,-5.198496046889686,1.493338502439934,1.006136658542878
 07/02  16:43:00,30.74166666666667,0.5969374980900262,-4.550324684628243,1.491183445784656,1.0054932637879803
 07/02  16:44:00,30.73333333333333,0.5972110383834025,-4.144369177292232,1.489000673289816,1.0048303124579399
 07/02  16:45:00,30.725,0.5964130971504898,-3.1841663153490374,1.4867903889929843,1.0041479459869633
 07/02  16:46:00,30.71666666666667,0.5962678988738609,-6.736164637653829,1.4845527938667342,1.0034463022275675
 07/02  16:47:00,30.708333333333336,0.5959319414393247,-3.5905082341253176,1.4822880857681455,1.0027255133695996
 07/02  16:48:00,30.700000000000006,0.5977691282944169,-3.9217281079006496,1.4799964593917485,1.001985710231425
 07/02  16:49:00,30.69166666666667,0.5973234644183547,-6.242633211368028,1.4776781062258384,1.0012270237022296
 07/02  16:50:00,30.683333333333334,0.5959386742847118,-3.8011155756589687,1.4753332145121174,1.0004495695859081
 07/02  16:51:00,30.675000000000008,0.5965364751016129,-4.1385549953519565,1.4729619692085907,0.999653473085782
 07/02  16:52:00,30.66666666666667,0.595644534514291,-3.9809745788609736,1.4705645519556683,0.9988388512378996
 07/02  16:53:00,30.65833333333333,0.5949651245455523,-5.676417915756693,1.4681411410454,0.9980058211066551
 07/02  16:54:00,30.65000000000001,0.5954822562562776,-4.284026255221473,1.4656919113937794,0.9971544841436496
 07/02  16:55:00,30.64166666666667,0.5970118079112209,-3.571564508164732,1.4632170345160584,0.9962849545195173
 07/02  16:56:00,30.633333333333336,0.5966252382621111,-6.794976920498504,1.4607166785049925,0.9953973274610359
 07/02  16:57:00,30.625,0.5953195807521908,-3.5890750502024487,1.4581910080119669,0.9944917057292204
 07/02  16:58:00,30.61666666666667,0.5972387694737317,-4.698571193140399,1.4556401842309101,0.9935681947216104
 07/02  16:59:00,30.60833333333333,0.5963271523369581,-4.391921202604195,1.4530643648849457,0.9926268698975254
 07/02  17:00:00,30.6,0.5948172826946172,-4.938742181822653,1.4504637042156936,0.9916678320128124
 07/02  17:01:00,30.6,0.5961837868961608,-4.369748944781131,1.4478383529751664,0.9923909864913256
